"YYYY","MM","DD","ATMP","WTMP"
"14",1999,1,1,23.7,25.3
"38",1999,1,2,25,25.3
"62",1999,1,3,21.1,25.1
"86",1999,1,4,17.9,24.7
"110",1999,1,5,10.8,23.9
"134",1999,1,6,10.9,23.9
"158",1999,1,7,17.1,24
"182",1999,1,8,23.2,24
"206",1999,1,9,24.5,24.4
"230",1999,1,10,19.6,24.2
"254",1999,1,11,13.4,21.8
"278",1999,1,12,17.1,22.5
"302",1999,1,13,23.1,23.4
"326",1999,1,14,23.5,23.8
"350",1999,1,15,24.1,24.2
"374",1999,1,16,23.3,24.6
"398",1999,1,17,24.1,25
"422",1999,1,18,24.1,24.6
"446",1999,1,19,22.9,24.6
"470",1999,1,20,21.8,24.4
"494",1999,1,21,23.9,25
"518",1999,1,22,24,24.8
"542",1999,1,23,25.1,24.8
"566",1999,1,24,24.9,24.8
"590",1999,1,25,17.9,23.8
"614",1999,1,26,22.7,23.7
"638",1999,1,27,23.6,24.5
"662",1999,1,28,23.4,24.5
"686",1999,1,29,24,24.9
"710",1999,1,30,24,24.7
"734",1999,1,31,24,24.6
"782",1999,2,2,23.3,24.3
"806",1999,2,3,23.8,24.1
"830",1999,2,4,24,24.1
"854",1999,2,5,21.4,24
"878",1999,2,6,23.8,24.1
"902",1999,2,7,23.9,24.5
"926",1999,2,8,23.7,24.6
"950",1999,2,9,22.7,24.6
"974",1999,2,10,22.5,24.4
"998",1999,2,11,23.9,24.8
"1022",1999,2,12,24.1,24.7
"1046",1999,2,13,20.8,24.6
"1070",1999,2,14,13.1,23
"1094",1999,2,15,16.5,22.9
"1118",1999,2,16,21.6,24.8
"1142",1999,2,17,22.6,24.2
"1166",1999,2,18,23.8,24.1
"1190",1999,2,19,22.4,23.9
"1214",1999,2,20,19.1,23.5
"1238",1999,2,21,17,23.7
"1262",1999,2,22,13.5,22.4
"1286",1999,2,23,13.5,20.8
"1310",1999,2,24,16.3,21
"1334",1999,2,25,15.9,22.5
"1358",1999,2,26,16,22.9
"1382",1999,2,27,20.4,23.6
"1406",1999,2,28,22.4,23.7
"1430",1999,3,1,17.5,23.1
"1454",1999,3,2,18.3,23
"1478",1999,3,3,23.7,23.2
"1502",1999,3,4,15.3,22.7
"1526",1999,3,5,19.7,22.8
"1550",1999,3,6,22,23.2
"1574",1999,3,7,19.7,22.9
"1598",1999,3,8,21.9,22.9
"1622",1999,3,9,20.8,23.5
"1646",1999,3,10,22,23.2
"1670",1999,3,11,17.1,22.9
"1694",1999,3,12,20.1,23.6
"1718",1999,3,13,22.7,23.5
"1742",1999,3,14,24.3,23.3
"1766",1999,3,15,22.4,23.5
"1790",1999,3,16,12.5,22.3
"1814",1999,3,17,22,22.7
"1838",1999,3,18,22.6,23.4
"1862",1999,3,19,20.7,23.1
"1886",1999,3,20,22.7,22.8
"1910",1999,3,21,22.8,23.1
"1934",1999,3,22,17.1,22.8
"1958",1999,3,23,20.6,23.4
"1982",1999,3,24,23.5,23.9
"2006",1999,3,25,23.8,23.6
"2030",1999,3,26,23.2,23.8
"2054",1999,3,27,20.1,23.8
"2078",1999,3,28,23.8,24.1
"2102",1999,3,29,23.5,24.3
"2126",1999,3,30,22.5,23.7
"2174",1999,4,1,24.4,24.4
"2198",1999,4,2,24.5,24.6
"2222",1999,4,3,24.5,23.8
"2246",1999,4,4,24.3,24.4
"2270",1999,4,5,24.7,25
"2294",1999,4,6,24.5,25.4
"2318",1999,4,7,24,25.5
"2342",1999,4,8,23.5,25.3
"2366",1999,4,9,24.1,25.3
"2390",1999,4,10,25,25.3
"2414",1999,4,11,24.5,25.3
"2438",1999,4,12,24.1,25.6
"2462",1999,4,13,21.1,25.3
"2486",1999,4,14,24.8,25.8
"2510",1999,4,15,25.9,25.6
"2534",1999,4,16,26,26
"2558",1999,4,17,26.3,26.2
"2582",1999,4,18,18.9,25.6
"2606",1999,4,19,18.5,24.2
"2630",1999,4,20,22,25
"2654",1999,4,21,23.2,24.8
"2678",1999,4,22,25,25.3
"2702",1999,4,23,25.7,25.3
"2726",1999,4,24,25.8,25.5
"2750",1999,4,25,24.8,25.9
"2774",1999,4,26,25.5,26
"2798",1999,4,27,26.2,26
"2822",1999,4,28,25.2,26.1
"2846",1999,4,29,25.5,25.8
"2870",1999,4,30,24.3,25.8
"2894",1999,5,1,17.4,24.8
